AVC_ID,이정,등록일,노선번호,도로명,지역본부코드,지역본부명,지사코드,지사명,위도값,경도값,도로등급구분코드,도로등급구분명,장비소속구분코드,장비소속구분명,출력페이지번호,한페이지당출력건수
1200AV00200 ,14.91km,        ,1200,경인선,200000,수도권본부,210100,인천지사,37.523870,126.730490,101,고속국도,  ,,,
1200AV00300 ,17.84km,        ,1200,경인선,200000,수도권본부,210100,인천지사,37.524140,126.763300,101,고속국도,  ,,,
1200AV00400 ,22.48km,20110201,1200,경인선,200000,수도권본부,210100,인천지사,37.522440,126.814950,101,고속국도,  ,,,
1510AV00100 ,10.00km,        ,1510,서천공주선,400000,대전충남본부,411300,부여지사,36.127550,126.766370,101,고속국도,  ,,,
1510AV00200 ,26.35km,        ,1510,서천공주선,400000,대전충남본부,411300,부여지사,36.264770,126.785140,101,고속국도,  ,,,
1510AV00300 ,33.60km,        ,1510,서천공주선,400000,대전충남본부,411300,부여지사,36.309260,126.844910,101,고속국도,  ,,,
1510AV00400 ,49.60km,        ,1510,서천공주선,400000,대전충남본부,411300,부여지사,36.383690,126.995070,101,고속국도,  ,,,
1510AV00500 ,60.00km,        ,1510,서천공주선,400000,대전충남본부,411300,부여지사,36.473680,127.065090,101,고속국도,  ,,,
2510AV00100 ,4.90km,        ,2510,호남지선,800000,전북본부,810100,논산지사,36.119550,127.128580,101,고속국도,  ,,,
2510AV00150 ,28.70km,20130103,2510,호남지선,800000,전북본부,810100,논산지사,36.258920,127.281950,101,고속국도,  ,,,
2510AV00200 ,39.00km,        ,2510,호남지선,400000,대전충남본부,410200,대전지사,36.332640,127.313800,101,고속국도,  ,,,
2510AV00300 ,43.90km,        ,2510,호남지선,400000,대전충남본부,410200,대전지사,36.373590,127.332270,101,고속국도,  ,,,
2510AV00400 ,48.90km,        ,2510,호남지선,400000,대전충남본부,410200,대전지사,36.405880,127.367060,101,고속국도,  ,,,
3000AV00050 ,0.50km,20121030,3000,대전남부선,400000,대전충남본부,410200,대전지사,36.292310,127.321120,101,고속국도,00,본선,,
3000AV00100 ,2.30km,        ,3000,대전남부선,400000,대전충남본부,410500,영동지사,36.291440,127.340990,101,고속국도,00,본선,,
4510AV00070 ,13.40km,20110201,4510,중부내륙지선,700000,부산경남본부,710200,창녕지사,35.775720,128.471760,101,고속국도,  ,,,
4510AV00100 ,20.40km,        ,4510,중부내륙지선,600000,대구경북본부,610400,군위지사,35.816380,128.507300,101,고속국도,  ,,,
4510AV00200 ,28.50km,20110201,4510,중부내륙지선,600000,대구경북본부,610400,군위지사,35.879950,128.529690,101,고속국도,  ,,,
5510AV01000 ,8.50km,20141211,5510,중앙선지선,700000,부산경남본부,710500,양산지사,,,101,고속국도,00,본선,,
5510AV01500 ,11.60km,20141211,5510,중앙선지선,700000,부산경남본부,710500,양산지사,,,101,고속국도,00,본선,,
6000AV00600 ,6.23km,20171226,6000,부산외곽선,700000,부산경남본부,710500,양산지사,35.500833,129.304722,101,고속국도,00,본선,,
6000AV02600 ,26.69km,20171226,6000,부산외곽선,700000,부산경남본부,710500,양산지사,35.461667,129.647222,101,고속국도,00,본선,,
6000AV03800 ,39.61km,20171226,6000,부산외곽선,700000,부산경남본부,710100,울산지사,35.502778,129.200833,101,고속국도,00,본선,,
