unitName,pageNo,numOfRows,unitCode,routeName,routeNo,xValue,yValue
흥도IC,,,046 ,평택화성선,017,,
향남,,,676 ,평택화성선,017,126.995275,37.126638
북평택,,,677 ,평택화성선,017,126.991481,37.066343
고양본선,,,820 ,평택화성선,017,,
고양지선,,,821 ,평택화성선,017,,
고양JCT남,,,822 ,평택화성선,017,,
고양JCT북,,,823 ,평택화성선,017,,
사리현,,,824 ,평택화성선,017,,
북고양설문,,,825 ,평택화성선,017,,
금촌,,,826 ,평택화성선,017,,
월롱,,,827 ,평택화성선,017,,
산단,,,828 ,평택화성선,017,,
문산본선,,,829 ,평택화성선,017,,
양감,,,876 ,평택화성선,017,,
장수,,,169 ,새만금포항선,020,127.587515,35.712959
팔공산,,,230 ,새만금포항선,020,128.654029,35.909261
청통와촌,,,524 ,새만금포항선,020,128.829645,35.965874
북영천,,,525 ,새만금포항선,020,128.922571,36.030079
서포항,,,526 ,새만금포항선,020,129.222545,36.067546
포항,,,527 ,새만금포항선,020,129.298314,36.046991
진안,,,546 ,새만금포항선,020,127.438555,35.769453
임고,,,725 ,새만금포항선,020,,
논산,,,155 ,호남선A,025,127.132461,36.124035
익산,,,156 ,호남선A,025,127.110519,35.989533
삼례,,,157 ,호남선A,025,127.081288,35.923178
전주,,,158 ,호남선A,025,127.059859,35.877441
서전주,,,159 ,호남선A,025,127.038244,35.825618
김제,,,160 ,호남선A,025,127.002956,35.778850
금산사,,,161 ,호남선A,025,126.986739,35.738621
태인,,,162 ,호남선A,025,126.927502,35.663967
정읍,,,163 ,호남선A,025,126.833634,35.578186
백양사,,,165 ,호남선A,025,126.800943,35.431433
장성,,,166 ,호남선A,025,126.790525,35.283897
광주,,,167 ,호남선A,025,126.808713,35.252303
동광주,,,261 ,호남선A,025,126.938766,35.208424
창평,,,262 ,호남선A,025,127.002745,35.230064
옥과,,,263 ,호남선A,025,127.116552,35.261043
곡성,,,265 ,호남선A,025,127.225540,35.227368
석곡,,,266 ,호남선A,025,127.249461,35.126218
주암송광사,,,267 ,호남선A,025,127.265981,35.065549
승주,,,268 ,호남선A,025,127.375757,35.015743
내장산,,,530 ,호남선A,025,126.806289,35.507038
남천안,,,601 ,호남선A,025,,
풍세상,,,602 ,호남선A,025,,
정안,,,603 ,호남선A,025,,
남공주,,,604 ,호남선A,025,,
탄천,,,605 ,호남선A,025,,
서논산,,,606 ,호남선A,025,,
연무,,,607 ,호남선A,025,,
